"country_profiles_og.country","Region","population","pop_dens","gdp","gdp_growth","gdp_xcap","eco_agri","eco_industry","eco_services","empl_agri","empl_industry","empl_services","pop_growth","urban_pop","educ_exp"
"Burkina Faso","WesternAfrica",19193,70.2,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,3,29.9,4.1
"Burundi","EasternAfrica",10864,423.1,2735,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,3,12.1,5.4
"Cabo Verde","WesternAfrica",546,135.6,1603,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,1.2,65.5,5
"Cambodia","South-easternAsia",16005,90.7,18050,7,1158.7,28.2,29.4,42.3,42.4,19.6,38,1.6,20.7,1.9
"Cameroon","MiddleAfrica",24054,50.9,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,2.7,54.4,3
"Canada","NorthernAmerica",36624,4,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,1,81.8,5.3
"Cayman Islands","Caribbean",62,256.5,3726,0.7,62132,0.3,7.5,92.2,0.8,15.5,83.6,1.5,100,3.982
"Central African Republic","MiddleAfrica",4659,7.5,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,0.4,40,1.2
"Chad","MiddleAfrica",14900,11.8,10009,6.6,713,25.4,39,35.6,76.6,2,21.4,3.3,22.5,2.8
"Channel Islands","NorthernEurope",165,870.1,296416.81,3.633,27501.104,3.041,24.84,71.822,5,24.5,70.5,0.5,31.5,5.406
"Chile","SouthAmerica",18055,24.3,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,0.9,89.5,4.9
"China, Hong Kong SAR","EasternAsia",7365,7014.2,309236,2.4,42431,0.1,7.2,92.7,0.2,14.9,84.9,0.6,100,3.3
"China, Macao SAR","EasternAsia",623,20821.6,46178,-20.3,78586.4,1.904,6.6,93.4,0.3,17.7,82.1,2.3,100,2
"China","EasternAsia",1409517,150.1,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,0.5,55.6,4.138
"Colombia","SouthAmerica",49066,44.2,292080,3.1,6056.1,6.8,34,59.2,13.5,16.6,69.9,1,76.4,4.5
"Comoros","EasternAfrica",814,437.4,1079,4.8,1368.9,30.7,4,65.3,62,5.2,32.8,2.4,28.3,4.3
"Congo","MiddleAfrica",5261,15.4,8493,1.2,1838.1,4.7,70,25.3,40.7,25.8,33.5,2.6,65.4,3.635
"Cook Islands","Polynesia",17,72.4,294,5.5,14118.7,8.1,9,82.9,4.3,11.7,84,-1.2,74.5,3.9
"Costa Rica","CentralAmerica",4906,96.1,52958,3.7,11015,5.1,21.5,73.4,11.6,19.1,69.3,1.1,76.8,7.2
"Croatia","SouthernEurope",4189,74.9,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64,-0.4,59,4.6
"Cuba","Caribbean",11485,107.9,87206,4.4,7656.6,5,20.5,74.5,12.9,11.7,75.3,0.2,77.1,5.087
"Cyprus","WesternAsia",1180,127.7,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,0.9,66.9,6.1
"Czechia","EasternEurope",10618,137.5,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37,60.5,0.1,73,4.1
"Democratic People's Republic of Korea","EasternAsia",25491,211.7,16283,-1.1,648,21.6,46.2,32.2,58.9,19.3,21.8,0.5,60.9,3.489
"Democratic Republic of the Congo","MiddleAfrica",81340,35.9,37569,7,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.3,42.5,2.2
"Denmark","NorthernEurope",5734,135.1,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,0.5,87.7,8.6
"Djibouti","EasternAfrica",957,41.3,1737,6.5,1956.3,3.3,21.4,75.3,22.8,23.9,53.2,1.7,77.3,5.129
"Dominica","Caribbean",74,98.6,512,-1.8,7051.1,15.4,13.2,71.5,17.242,15.225,67.767,0.5,69.5,5.291
"Dominican Republic","Caribbean",10767,222.8,67103,7,6373.6,6.6,28,65.4,13.1,16.9,70,1.2,79,4.704
